Une précaution absolument nécessaire pour éviter l'illusion est de rester vigilant. Il est important de	{'cognate_ratio': 0.47, 'avg_gap_between_consecutive_cognates': 1.6, 'avg_gap_normalized': 0.73, 'biggest_gap': 3, 'avg_non_cognate_length': 3.83, 'was_sentence_rejected_early': False, 'total_score': 0.38}
Au théâtre ce week-end, j'ai assisté à une pièce de théâtre	{'cognate_ratio': 0.36, 'avg_gap_between_consecutive_cognates': 2.0, 'avg_gap_normalized': 0.67, 'biggest_gap': 3, 'avg_non_cognate_length': 2.33, 'was_sentence_rejected_early': False, 'total_score': 0.36}
En visitant Paris, je n'ai pas pu m'empêcher de tomber	{'cognate_ratio': 0.4, 'avg_gap_between_consecutive_cognates': 2.0, 'avg_gap_normalized': 0.67, 'biggest_gap': 3, 'avg_non_cognate_length': 2.83, 'was_sentence_rejected_early': False, 'total_score': 0.37}
Au restaurant, j'ai commandé un délicieux tiramisu en dessert.  Mon éducation	{'cognate_ratio': 0.45, 'avg_gap_between_consecutive_cognates': 1.8, 'avg_gap_normalized': 0.7, 'biggest_gap': 4, 'avg_non_cognate_length': 3.5, 'was_sentence_rejected_early': False, 'total_score': 0.38}
Au restaurant, j'ai commandé un délicieux tiramisu pour terminer mon repas.  J'ai choisi cette option car j'adore les desserts à base de	{'cognate_ratio': 0.45, 'avg_gap_between_consecutive_cognates': 2.0, 'avg_gap_normalized': 0.67, 'biggest_gap': 4, 'avg_non_cognate_length': 3.42, 'was_sentence_rejected_early': False, 'total_score': 0.37}
Au restaurant, j'ai commandé un délicieux tiramisu pour terminer mon repas.  J'ai choisi cette option car j'adore les desserts à base de mascarpone, c'est un ingrédient noble et absolument délicieux. De	{'cognate_ratio': 0.48, 'avg_gap_between_consecutive_cognates': 1.9, 'avg_gap_normalized': 0.68, 'biggest_gap': 4, 'avg_non_cognate_length': 3.33, 'was_sentence_rejected_early': False, 'total_score': 0.39}
Au restaurant, j'ai commandé un délicieux tiramisu pour terminer mon repas.  J'ai choisi cette option car j'adore les desserts à base de chocolat, c'est un ingrédient noble et absolument délicieux en tout	{'cognate_ratio': 0.44, 'avg_gap_between_consecutive_cognates': 2.0, 'avg_gap_normalized': 0.67, 'biggest_gap': 4, 'avg_non_cognate_length': 3.38, 'was_sentence_rejected_early': False, 'total_score': 0.36}
De retour à Paris, j'ai décidé de visiter la Tour Eiffel.  	{'cognate_ratio': 0.36, 'avg_gap_between_consecutive_cognates': 1.8, 'avg_gap_normalized': 0.7, 'biggest_gap': 2, 'avg_non_cognate_length': 3.0, 'was_sentence_rejected_early': False, 'total_score': 0.35}
De retour à Paris, j'ai visité la Tour Eiffel  accompagnée de	{'cognate_ratio': 0.36, 'avg_gap_between_consecutive_cognates': 1.8, 'avg_gap_normalized': 0.7, 'biggest_gap': 2, 'avg_non_cognate_length': 3.0, 'was_sentence_rejected_early': False, 'total_score': 0.35}
Le parc national est connu pour sa végétation variée et diversifiée.  Le	{'cognate_ratio': 0.5, 'avg_gap_between_consecutive_cognates': 1.7, 'avg_gap_normalized': 0.72, 'biggest_gap': 4, 'avg_non_cognate_length': 3.0, 'was_sentence_rejected_early': False, 'total_score': 0.44}
Le parc national est célèbre pour sa diversité de végétation, qui est	{'cognate_ratio': 0.42, 'avg_gap_between_consecutive_cognates': 1.8, 'avg_gap_normalized': 0.7, 'biggest_gap': 4, 'avg_non_cognate_length': 3.33, 'was_sentence_rejected_early': False, 'total_score': 0.36}
Un climat de qualité contribue à une production d'oranges abondante.  De plus, les	{'cognate_ratio': 0.46, 'avg_gap_between_consecutive_cognates': 1.8, 'avg_gap_normalized': 0.7, 'biggest_gap': 3, 'avg_non_cognate_length': 2.57, 'was_sentence_rejected_early': False, 'total_score': 0.43}
Un climat d'orange règne dans cette région en raison de sa qualité.   Cette orange a une saveur unique grâce à l'expérience des producteurs sur l'île. De	{'cognate_ratio': 0.42, 'avg_gap_between_consecutive_cognates': 2.1, 'avg_gap_normalized': 0.65, 'biggest_gap': 4, 'avg_non_cognate_length': 3.07, 'was_sentence_rejected_early': False, 'total_score': 0.36}
Un climat d'orange règne dans cette région en raison de sa qualité.   Cette orange a une saveur exquise grâce à l'expérience de cultiver des fruits sur	{'cognate_ratio': 0.42, 'avg_gap_between_consecutive_cognates': 2.2, 'avg_gap_normalized': 0.63, 'biggest_gap': 4, 'avg_non_cognate_length': 3.29, 'was_sentence_rejected_early': False, 'total_score': 0.35}
Créée par des artistes de différentes nationalités, la pièce a été un succès international. 	{'cognate_ratio': 0.43, 'avg_gap_between_consecutive_cognates': 1.9, 'avg_gap_normalized': 0.68, 'biggest_gap': 4, 'avg_non_cognate_length': 2.62, 'was_sentence_rejected_early': False, 'total_score': 0.4}
Créée par des artistes de différentes nationalités, la pièce a été un succès international.  Le volcan en éruption a été une source d'inspiration pour la	{'cognate_ratio': 0.4, 'avg_gap_between_consecutive_cognates': 2.1, 'avg_gap_normalized': 0.65, 'biggest_gap': 4, 'avg_non_cognate_length': 2.67, 'was_sentence_rejected_early': False, 'total_score': 0.37}
Créée par le boulanger parisien Louis Lefèvre, la baguette a plusieurs différentes variations régionales.   Elle est considérée comme l'un des symboles	{'cognate_ratio': 0.48, 'avg_gap_between_consecutive_cognates': 1.7, 'avg_gap_normalized': 0.72, 'biggest_gap': 4, 'avg_non_cognate_length': 4.27, 'was_sentence_rejected_early': False, 'total_score': 0.36}
Cette région est connue pour sa végétation luxuriante et son climat	{'cognate_ratio': 0.45, 'avg_gap_between_consecutive_cognates': 2.0, 'avg_gap_normalized': 0.67, 'biggest_gap': 4, 'avg_non_cognate_length': 3.67, 'was_sentence_rejected_early': False, 'total_score': 0.36}
Cette forêt tropicale regorge de __végétation__ et de __kilogrammes__ d'animaux sauvages.  La végétation	{'cognate_ratio': 0.54, 'avg_gap_between_consecutive_cognates': 1.6, 'avg_gap_normalized': 0.73, 'biggest_gap': 3, 'avg_non_cognate_length': 3.6, 'was_sentence_rejected_early': False, 'total_score': 0.44}
Cette forêt tropicale regorge de __végétation__ et de __kilogrammes__ d'animaux sauvages.  La végétation luxuriante et dense offre un habitat idéal pour une variété	{'cognate_ratio': 0.52, 'avg_gap_between_consecutive_cognates': 1.8, 'avg_gap_normalized': 0.7, 'biggest_gap': 3, 'avg_non_cognate_length': 3.56, 'was_sentence_rejected_early': False, 'total_score': 0.41}
